index,comments,score
13,电池不耐用，半天不到就要充电，作为新手机不应该,1
13,买手机不配充电器，就是黑店,1
13,我怎么看都像旧手机一样，什么情况,1
13,买了一个月，电量用的很快，还发热烫手,1
13,手机用了一个月就开始发烫了就一个裸机，还卖那么贵,1
13,没有快充就是没有充电器，这解释能不能再荒唐些？,1
14,买了七八个手机，第一次不带充电器的。。好无聊,1
14,2999的手机连充电器都不配有，不谈了,1
14,一个月左右 手机相机黑屏卡顿 还不处理,1
14,充电器都不送一个，保护屏也没有,1
14,这个手机我觉得有点卡，而且是曲屏的一点都不好,1
14,就第一次买不送充电器要自己画200多买？,1
14,没耳机就算了 充电器数据线都没,1
14,刚过七天，不能退货了，只能换货，右下角漏光,1
14,电池续航短，正常使用，不打游戏一天没到就关机了,1
14,快递慢死，送了快十天,1
15,外形外观：掉了一掉漆\n运行速度：卡,1
15,手机是4G版的，没有充电器，也只能放一张卡，,1
15,发热比较严重，耗电快，性能差点意思。,1
15,用了一个多月，充不进去电了，还不知道怎么办,1
15,等了好多天，给我寄个有瑕疵的，提交更换了,1
15,手机屏幕偏黄，像素不好，品质有所下降，再也不会购买华为了，,1
15,手机电池一天都用不了,1
15,用了一辈子手机了第一次遇到不带充电器的，指纹敏感度低,1
15,大家不要在网上买手机，我是亲身经历了，手机卡得要死，电池不耐用,1
15,电池不耐用，卡得要死,1
16,买个手机现在充电器都不给了，还想我们中国人支持华为，以后在也不会买华为的东西,1
16,请问送的礼品送到哪里去了,1
16,看看这么多的差评，京东和华为不应该反思一下吗,1
16,充电器一直不发，我怎么用手机，售后客服机械重复几句话。,1
16,太失望了，充电器10天都没发过来了，充电器，充电器，充电器，充电器，充电器，充电器，充电器，充电器，充电器，充电器。,1
16,为什么没有充电器？我买手机充电器有个**？,1
16,没有充电器！买的时候没有标明,1
16,手机是买给母亲用的，反馈：手机音质比之前买的荣耀10差很多。,1
16,手机不配充电器第一次,1
16,没有充电器为什么不提前告诉一声，,1
17,手机黑屏了，准备去服务中心解决,1
17,刚买的手机就是坏的，插卡无服务，卡换到其他手机上就正常的,1
17,宝贝不错，但是唯独没有充电器,1
17,手机是不错，但有一点没想明白买手机不给配充电器吗，这是不是商家的一种营销手段啊，那我以后卖车我就不给带轮胎了,1
17,不知道是什么原因  手机比暖手宝都烫手  没用的时候也特别热,1
17,手机超级卡&hellip;&hellip;都比不上用了3年的荣耀20！！！,1
17,反应慢到极致，触摸经常无反应，差差差,1
17,没有充电器和耳机，可能有点傲娇吧，如果不是送人，不会购买,1
17,连充电器都没有，给惯毛病,1
17,很多小问题，大问题没有。目前使用还行，,1
18,手机居然没有充电器和数据线配，也是大开眼界了,1
18,刚买回来下个王者荣耀就发烫，还不如我几年前买的OPPO，烂,1
18,现在的手机连数据线和充电头都不配可以减到这个程度了。,1
18,第一次买华为，没充电器，挺伤情怀的！,1
18,连充电器和充电线都没有，耳机也没有,1
18,为什么没有充电器呢？,1
18,裸机，连个充电线跟充电线都没有,1
18,运行速度：运行内存好卡，申请换新换了还是一样很卡，肯定没有换新直接就是原手机寄给我，,1
18,直接2300裸机啥都不送，充电器还要自配，没有耳机，附送一个五毛钱的塑料软壳,1
18,2021年9月份上市的   什么有2018年的软件,1
19,竟然没有充电器，已经等了好多天了，没有结果，充电都没法充！！！,1
19,华为跳水价，第三次感受了，买不到十天降150，价保七天，想补差价没得商量，第一次是魔术2，上一次是freebuspro ，事不过三，再见华为！降价时机永远瞅不准系列！,1
19,刚收到手机，设置完指纹，指纹打不开，设置了两根手指都打不开,1
19,说的定制手机壳送的，我多加一个单付了款，两个定制手机壳没收到。,1
19,为啥不给充电器等配件。买锁不给钥匙吗,1
19,买了不给退，血亏300，草,1
19,手机相机不能录像  在微信就可以录像  是什么原因,1
19,不经允许就当快递柜了，问客服也没人理，京东自营不是号称送货上门的吗？凌晨下单当日没有送达也没个说法，东西都没见到订单就待评价了，请问你们是怎么做到的？自行原路退回吧，,1
19,电池也是不耐用，一天都用不了。晕死了！,1
19,待机时间：不玩游戏不看视频 只接电话 半天关机,1
20,没有配充电器。，又贵。,1
20,半个多月，解锁不好用，客服不解决任何问题,1
20,别买了，手机卡的一比,1
20,开不了机子，充电了都打不开，想换货这都已经签收了手机。还不发货,1
20,客服：重新换个计数器就好了???,1
20,充电器都没有，这是让我把它当一次性消耗品用吗,1
20,神机？？？不用充电的吗？正常充电线都不带,1
20,不是双卡双待，没有充电器，没有想像的好,1
20,不配冲电器又不说明！！！,1
20,耗电真的快  伤不起,1
21,我叼***顶配也没有充电器和线，就**一个砖头手机,1
