index,comments,score
0,买完没有十天就降价了200,1
0,**，刚刚买就降价200玩毛喔,1
0,您没有填写内容，默认好评,1
0,10天左右就降了200元，哎，心情不好,1
0,没心情，刚买完就降价，又没有补差价,1
0,刚刚收到就降价200多，不满意,1
0,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
0,手机不耐电送的东西也没用,1
0,手机未收到，居然收货了,1
0,双十一期间买完就降价，没有诚信可言！,1
1,买完没有十天就降价了200,1
1,**，刚刚买就降价200玩毛喔,1
1,您没有填写内容，默认好评,1
1,10天左右就降了200元，哎，心情不好,1
1,没心情，刚买完就降价，又没有补差价,1
1,刚刚收到就降价200多，不满意,1
1,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
1,手机不耐电送的东西也没用,1
1,手机未收到，居然收货了,1
1,双十一期间买完就降价，没有诚信可言！,1
2,买完没有十天就降价了200,1
2,**，刚刚买就降价200玩毛喔,1
2,您没有填写内容，默认好评,1
2,10天左右就降了200元，哎，心情不好,1
2,没心情，刚买完就降价，又没有补差价,1
2,刚刚收到就降价200多，不满意,1
2,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
2,手机不耐电送的东西也没用,1
2,手机未收到，居然收货了,1
2,双十一期间买完就降价，没有诚信可言！,1
3,买完没有十天就降价了200,1
3,**，刚刚买就降价200玩毛喔,1
3,您没有填写内容，默认好评,1
3,10天左右就降了200元，哎，心情不好,1
3,没心情，刚买完就降价，又没有补差价,1
3,刚刚收到就降价200多，不满意,1
3,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
3,手机不耐电送的东西也没用,1
3,手机未收到，居然收货了,1
3,双十一期间买完就降价，没有诚信可言！,1
4,买完没有十天就降价了200,1
4,**，刚刚买就降价200玩毛喔,1
4,您没有填写内容，默认好评,1
4,10天左右就降了200元，哎，心情不好,1
4,没心情，刚买完就降价，又没有补差价,1
4,刚刚收到就降价200多，不满意,1
4,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
4,手机不耐电送的东西也没用,1
4,手机未收到，居然收货了,1
4,双十一期间买完就降价，没有诚信可言！,1
5,买完没有十天就降价了200,1
5,**，刚刚买就降价200玩毛喔,1
5,您没有填写内容，默认好评,1
5,10天左右就降了200元，哎，心情不好,1
5,没心情，刚买完就降价，又没有补差价,1
5,刚刚收到就降价200多，不满意,1
5,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
5,手机不耐电送的东西也没用,1
5,手机未收到，居然收货了,1
5,双十一期间买完就降价，没有诚信可言！,1
6,买完没有十天就降价了200,1
6,**，刚刚买就降价200玩毛喔,1
6,您没有填写内容，默认好评,1
6,10天左右就降了200元，哎，心情不好,1
6,没心情，刚买完就降价，又没有补差价,1
6,刚刚收到就降价200多，不满意,1
6,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
6,手机不耐电送的东西也没用,1
6,手机未收到，居然收货了,1
6,双十一期间买完就降价，没有诚信可言！,1
7,买完没有十天就降价了200,1
7,**，刚刚买就降价200玩毛喔,1
7,您没有填写内容，默认好评,1
7,10天左右就降了200元，哎，心情不好,1
7,没心情，刚买完就降价，又没有补差价,1
7,刚刚收到就降价200多，不满意,1
7,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
7,手机不耐电送的东西也没用,1
7,手机未收到，居然收货了,1
7,双十一期间买完就降价，没有诚信可言！,1
8,买完没有十天就降价了200,1
8,**，刚刚买就降价200玩毛喔,1
8,您没有填写内容，默认好评,1
8,10天左右就降了200元，哎，心情不好,1
8,没心情，刚买完就降价，又没有补差价,1
8,刚刚收到就降价200多，不满意,1
8,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
8,手机不耐电送的东西也没用,1
8,手机未收到，居然收货了,1
8,双十一期间买完就降价，没有诚信可言！,1
9,买完没有十天就降价了200,1
9,**，刚刚买就降价200玩毛喔,1
9,您没有填写内容，默认好评,1
9,10天左右就降了200元，哎，心情不好,1
9,没心情，刚买完就降价，又没有补差价,1
9,刚刚收到就降价200多，不满意,1
9,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
9,手机不耐电送的东西也没用,1
9,手机未收到，居然收货了,1
9,双十一期间买完就降价，没有诚信可言！,1
10,买完没有十天就降价了200,1
10,**，刚刚买就降价200玩毛喔,1
10,您没有填写内容，默认好评,1
10,10天左右就降了200元，哎，心情不好,1
10,没心情，刚买完就降价，又没有补差价,1
10,刚刚收到就降价200多，不满意,1
10,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
10,手机不耐电送的东西也没用,1
10,手机未收到，居然收货了,1
10,双十一期间买完就降价，没有诚信可言！,1
11,买完没有十天就降价了200,1
11,**，刚刚买就降价200玩毛喔,1
11,您没有填写内容，默认好评,1
11,10天左右就降了200元，哎，心情不好,1
11,没心情，刚买完就降价，又没有补差价,1
11,刚刚收到就降价200多，不满意,1
11,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
11,手机不耐电送的东西也没用,1
11,手机未收到，居然收货了,1
11,双十一期间买完就降价，没有诚信可言！,1
12,买完没有十天就降价了200,1
12,**，刚刚买就降价200玩毛喔,1
12,您没有填写内容，默认好评,1
12,10天左右就降了200元，哎，心情不好,1
12,没心情，刚买完就降价，又没有补差价,1
12,刚刚收到就降价200多，不满意,1
12,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
12,手机不耐电送的东西也没用,1
12,手机未收到，居然收货了,1
12,双十一期间买完就降价，没有诚信可言！,1
13,买完没有十天就降价了200,1
13,**，刚刚买就降价200玩毛喔,1
13,您没有填写内容，默认好评,1
13,10天左右就降了200元，哎，心情不好,1
13,没心情，刚买完就降价，又没有补差价,1
13,刚刚收到就降价200多，不满意,1
13,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
13,手机不耐电送的东西也没用,1
13,手机未收到，居然收货了,1
13,双十一期间买完就降价，没有诚信可言！,1
14,买完没有十天就降价了200,1
14,**，刚刚买就降价200玩毛喔,1
14,您没有填写内容，默认好评,1
14,10天左右就降了200元，哎，心情不好,1
14,没心情，刚买完就降价，又没有补差价,1
14,刚刚收到就降价200多，不满意,1
14,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
14,手机不耐电送的东西也没用,1
14,手机未收到，居然收货了,1
14,双十一期间买完就降价，没有诚信可言！,1
15,买完没有十天就降价了200,1
15,**，刚刚买就降价200玩毛喔,1
15,您没有填写内容，默认好评,1
15,10天左右就降了200元，哎，心情不好,1
15,没心情，刚买完就降价，又没有补差价,1
15,刚刚收到就降价200多，不满意,1
15,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
15,手机不耐电送的东西也没用,1
15,手机未收到，居然收货了,1
15,双十一期间买完就降价，没有诚信可言！,1
16,买完没有十天就降价了200,1
16,**，刚刚买就降价200玩毛喔,1
16,您没有填写内容，默认好评,1
16,10天左右就降了200元，哎，心情不好,1
16,没心情，刚买完就降价，又没有补差价,1
16,刚刚收到就降价200多，不满意,1
16,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
16,手机不耐电送的东西也没用,1
16,手机未收到，居然收货了,1
16,双十一期间买完就降价，没有诚信可言！,1
17,买完没有十天就降价了200,1
17,**，刚刚买就降价200玩毛喔,1
17,您没有填写内容，默认好评,1
17,10天左右就降了200元，哎，心情不好,1
17,没心情，刚买完就降价，又没有补差价,1
17,刚刚收到就降价200多，不满意,1
17,刚买就降了900。大家还是等等活动吧&hellip;&hellip;,1
17,手机不耐电送的东西也没用,1
